,EST,User_name,Text,Sentiment,Created,User_flr
2020-05-03 13:05:40,2020-05-03 13:05:40-04:00,kli_bili,"Khadijah was supportive of Muhammad's prophetic mission, always helping in his work, proclaiming his message and belittling any opposition to his prophecies

#DemiseOfLadyKhadija",-1,2020-05-03 17:05:40,2328
2020-05-03 13:08:38,2020-05-03 13:08:38-04:00,kli_bili,"When the polytheists and aristocrats of the Quraysh harassed the Muslims, 
Hazrat Khadija(s.a)  used her money to ransom Muslim slaves and feed the Muslim community.

#DemiseOfLadyKhadija",-1,2020-05-03 17:08:38,2328
2020-05-03 13:11:01,2020-05-03 13:11:01-04:00,kli_bili,"""SHE BELIEVES IN ME WHEN
    OTHER REJECTED ME""
    _HOLY PROPHET(pbuh)_

#DemiseOfLadyKhadija",-1,2020-05-03 17:11:01,2328
