,EST,User_name,Text,Sentiment,Created,User_flr
2020-05-05 00:18:05,2020-05-05 00:18:05-04:00,TaoValue,"@rmbtrader 1) I don't know, same things can be said for $SE
Garena is only Free Fire, I can be wrong on the game valuation, you can cut it by half but still see the undervalue of other biz. ACG community is probably the most easily magnetizable, so as long Sony can keep feeding BILI.",-1,2020-05-05 04:18:05,1214
2020-05-05 04:41:29,2020-05-05 04:41:29-04:00,astrosadie,Bili misses being beside the seaside and he’s taking it out on Buzz.  🏖 #stayhome #staysafe #cavachonday #dogsofinstagram #dogsofinsta #cavachon #cavachonsofinstagram #buzzlightyear 🚀 👩‍🚀 @ Pontllanfraith https://t.co/mgr0V418tE,-1,2020-05-05 08:41:29,1330
2020-05-05 04:56:15,2020-05-05 04:56:15-04:00,QuteJR,"wait i watch it and we have a serious discussion, bi british accent bili bitya?😂 https://t.co/3jgbDqgFqL",-1,2020-05-05 08:56:15,21712
2020-05-05 05:01:03,2020-05-05 05:01:03-04:00,Her_Lordship1,"RT @QuteJR: wait i watch it and we have a serious discussion, bi british accent bili bitya?😂",-1,2020-05-05 09:01:03,2858
2020-05-05 19:22:03,2020-05-05 19:22:03-04:00,SPLITTERIS,@poop_doctor Its because BilI got so much negative replies... https://t.co/YRxDzdFd25,-1,2020-05-05 23:22:03,12315
