,EST,User_name,Text,Sentiment,Created,User_flr
2020-05-03 05:33:28,2020-05-03 05:33:28-04:00,icexxcore,"Well, bili na lang ako ng akin. Or better gonna fry some siomai instead for MYSELF.",1,2020-05-03 09:33:28,1724
2020-05-03 13:02:18,2020-05-03 13:02:18-04:00,kli_bili,"Khadija(s.a) was the first wife and first female follower of the Islamic Prophet Muhammad(pbuh). Khadija(a.s) was the daughter of Khuwaylid ibn Asad, a leader of Quraysh tribe in Mecca, and a successful businesswoman in her own right. 

#DemiseOfLadyKhadija https://t.co/e5i2Cj10rS",1,2020-05-03 17:02:18,2328
2020-05-03 13:04:38,2020-05-03 13:04:38-04:00,kli_bili,"While Hazrat Khadija(SA) lived, the Holy Prophet(pbuh&amp;hf) did not marry another woman and in later years he always said     ""She was the Best of his Wives.""

#DemiseOfLadyKhadija",1,2020-05-03 17:04:38,2328
2020-05-03 13:04:38,2020-05-03 13:04:38-04:00,kli_bili,"Holy Prophet(pbuh) said ""Khadija(sa)    was one of the four perfect women who had ever lived. The other three are Hazrat Aasiya, the wife of Firaun, Hazrat Maryam, the mother of Prophet Isa(AS), and Hazrat Fatima Zahra(s.a.).""
#DemiseOfLadyKhadija https://t.co/XrQ3RzgQta",1,2020-05-03 17:04:38,2328
2020-05-03 13:09:43,2020-05-03 13:09:43-04:00,kli_bili,"It was  encouragement of Hazrat Khadija(a.s)  that helped Hazrat Muhammad(a.s) believe in his 
  mission and spread Islam.

#DemiseOfLadyKhadija",1,2020-05-03 17:09:43,2328
2020-05-03 14:36:00,2020-05-03 14:36:00-04:00,15minofPham,"Fri (5/1/20) gap down highest % below the opening 30-min low and trading range &lt; 20%: (Min $5, Vol 750K, Opt Vol in any strike 250): $CAR $LYFT $BILI $NWL $WY $TAL $MGM $INTC $TSM $UBER $RDS.B $TXN $MOMO $GM $CSCO $WBA $RDS.A $PSX  $OKE https://t.co/ZXQcAYL1tU",1,2020-05-03 18:36:00,1763
2020-05-03 16:53:39,2020-05-03 16:53:39-04:00,15minofPham,"Fri (5/1/20) X Below 5-Day price channel with greatest % below the opening 30-min low &amp; Trading range &lt; 20% (Min $5, Vol 750K, Opt Vol in any strike 250): $YY $CDNS $FEYE $LX $THC $LYFT $BILI $NWL $SVMK $BZUN $CBOE $FDX $BYND $TNK $DCP $SNPS $ZTO $WY $TRV $MO $DBX $XLNX $ZNGA https://t.co/UFLMZwmUbM",1,2020-05-03 20:53:39,1763
