,EST,User_name,Text,Sentiment,Created,User_flr
2020-05-17 20:30:09,2020-05-17 20:30:09-04:00,Sandi_59,"RT @duckman1717: Here is a list of a few leaders/IPOs without earnings but have strong sales growth that are performing very well: 

$SPT $…",1,2020-05-18 00:30:09,56
2020-05-17 20:47:47,2020-05-17 20:47:47-04:00,Gambiste1,"RT @duckman1717: Here is a list of a few leaders/IPOs without earnings but have strong sales growth that are performing very well: 

$SPT $…",1,2020-05-18 00:47:47,4989
2020-05-17 21:08:01,2020-05-17 21:08:01-04:00,kiokoapples,@mitbili SUPERIOR TASTE BILI I LOVE YOU,1,2020-05-18 01:08:01,167
2020-05-17 22:27:43,2020-05-17 22:27:43-04:00,enter_order,"RT @duckman1717: Here is a list of a few leaders/IPOs without earnings but have strong sales growth that are performing very well: 

$SPT $…",1,2020-05-18 02:27:43,78
2020-05-18 01:37:54,2020-05-18 01:37:54-04:00,NetflixACCforS1,"SELLING SHARED NETFLIX ACCOUNT AT 65 PESOS ONLY! MURANG-MURA BILI NA MAKE THE MOST OF OUT YOUR TIME NOW!
Tags: Murang netflix, netflix premium, spotify premium, legit seller, trusted account, netflix for sale, spotify for sale,shared account lowest price, budget friendly price",1,2020-05-18 05:37:54,12
2020-05-18 03:02:41,2020-05-18 03:02:41-04:00,ThePurplePrints,"RT @banxnamilkoo: Hi mga mamsh! bili na po kayo dito!
The prices of their products are amazingly affordable and sure has good qualities!☺💜",1,2020-05-18 07:02:41,3273
2020-05-18 04:11:38,2020-05-18 04:11:38-04:00,fantasymandan,Could be a nice day for $BILI shareholders. I'm locked &amp; loaded. Good luck gentlemen/women/persons/it.,1,2020-05-18 08:11:38,634
2020-05-18 05:35:55,2020-05-18 05:35:55-04:00,bili_ac,"RT @Martial1007: ✨Everything gold giveaway✨

50 royal crowns👑, 50 crowns👑 &amp; 50 lucky gold cats🐱. 5 lucky winners get 10 of each + 50 NMT ea…",1,2020-05-18 09:35:55,12
2020-05-18 06:16:10,2020-05-18 06:16:10-04:00,Gambiste1,RT @fantasymandan: Could be a nice day for $BILI shareholders. I'm locked &amp; loaded. Good luck gentlemen/women/persons/it.,1,2020-05-18 10:16:10,4989
2020-05-18 07:30:23,2020-05-18 07:30:23-04:00,bili_ac,Hello Animal Crossers! I’m looking to sell my turnips! I’ve never sold them before so it’s all new and exciting for me! I’ve heard that people have them for selling for a good price? Can someone help me out? Thanks! #acnh #ACNHturnips #AnimalCrossing #acnhturnipprices,1,2020-05-18 11:30:23,12
2020-05-18 07:56:53,2020-05-18 07:56:53-04:00,Jo_smx,@bili_ac I am but rarely get good prices either,1,2020-05-18 11:56:53,78
2020-05-18 08:08:27,2020-05-18 08:08:27-04:00,mandsvillanueva,"RT @VCGBph: Can it get any better than this⁉️

@dingdongdantes has pledged his 🏍 HELMET to  #ServeOurFrontliners ✊🏼

Kaya, sa lahat ng mga…",1,2020-05-18 12:08:27,28517
2020-05-18 09:31:19,2020-05-18 09:31:19-04:00,teyteycharisse,"@bakitfofollowmo @nielleocmp OMG GOOD IDEA.

@nielleocmp , 1k na lang for u babygirl. May 150 newly downloaded 2020 songs, 300 songs between the years 2018-2020. May pdf modules nung g10. Anddd may 100+ epub books (all my highly recommend)

sa'n ka pa? Bili na kay teya!",1,2020-05-18 13:31:19,277
2020-05-18 09:45:07,2020-05-18 09:45:07-04:00,altersurfer,"Soft, dewy and yummy like the one who sells this one @xxivviim . Sarap po parang ikaw 🤣. Kaya bili na kayo, please if referred by me kindly give me discount on my next purchase. Chour. 💜 ube cheesy pandesal. Good luck to mg diet. 😭 https://t.co/Oial8uwuN2",1,2020-05-18 13:45:07,2973
2020-05-18 09:47:07,2020-05-18 09:47:07-04:00,bakitfofollowmo,"RT @teyteycharisse: @bakitfofollowmo @nielleocmp OMG GOOD IDEA.

@nielleocmp , 1k na lang for u babygirl. May 150 newly downloaded 2020 son…",1,2020-05-18 13:47:07,118
2020-05-18 10:58:19,2020-05-18 10:58:19-04:00,bili_ac,"RT @DaisyMaeloveher: 1000 NOOK MILES TICKETS GIVEAWAY ❤️🌈(48HRS)

Total of 5 winners (200 tickets each)

- Follow 
- Retweet
-Tag a ACNH bu…",1,2020-05-18 14:58:19,12
2020-05-18 10:59:37,2020-05-18 10:59:37-04:00,bili_ac,"RT @acrossingMaple: 300 FOLLOWERS GA!! 🎶
this is my first ga, please don't let it flop🥺
the prices include: popular DIYs, musical instrumen…",1,2020-05-18 14:59:37,12
2020-05-18 11:05:45,2020-05-18 11:05:45-04:00,engagethetrade,"$SE beast mode. Market still loving tech... Other earnings this week that have great intraday charts... $URBN, $HD, $MDT (Watch $BILI too). I don't hold through earnings but will scalp intraday moves before them",1,2020-05-18 15:05:45,633
2020-05-18 11:47:38,2020-05-18 11:47:38-04:00,k2dac09,$BILI looks good bullish,1,2020-05-18 15:47:38,347
2020-05-18 12:15:41,2020-05-18 12:15:41-04:00,B_BilI_A,RT @AzharDrishak786: Smart people think. Brave people talk. Great people act.,1,2020-05-18 16:15:41,736
2020-05-18 13:16:19,2020-05-18 13:16:19-04:00,stockfisher_,"Popular Right Now: 
$ONCY $TTOO $ACB $TRVG $BJ $CODX $BIDU $IQ $JCP $INPX $MIST $TJX $SPY $HD $AAP $WB $EXP $BILI $DY $NOAH",1,2020-05-18 17:16:19,239
2020-05-18 13:47:43,2020-05-18 13:47:43-04:00,bili_ac,@acesfanship Good luck! 🤞🏻🤞🏻,1,2020-05-18 17:47:43,12
