,Sentiment,User_flr,Text
2020-07-09 00:32:14,1,6478,"$SWBI Smith &amp; Wesson Brands, In Top stock up 312% from low. Close: 22.47 VolvsAvg: 0.65 Liq: $46M https://t.co/Jafcr03g8i"
2020-07-09 02:55:22,-1,1552,American Outdoor Brands $AOBC versus Smith &amp; Wesson Brands $SWBI Critical Survey https://t.co/FMPH75xAS0
2020-07-09 03:16:46,-1,664,Vista Outdoor $VSTO and Smith &amp; Wesson Brands $SWBI Critical Review https://t.co/Zs5sP4bnuL
2020-07-09 10:13:00,1,36,"Rare metals and Guns have been working for us: 

$HL up 9.7%- total return: 23% 
$GLD 165.50 calls up 11%- 74% total
$SLV up 1%- 8.10% total
$SWBI up 1.4%- 27% total"
2020-07-09 11:53:42,1,38,@bits_bits_bits I'm holding $swbi &amp; waiting for Biden to say some garbage about gun control while he's winning in the polls.
