,User_name,Sentiment,User_flr,sText,Text
2020-06-23 06:07:27,MarcoDaCostaFX,0,4402,"$NKE, ","RT @timseymour: As Facebook climbs to all-time highs, the rock climbing crowd sets up camp elsewhere. Will it take a $NKE, $WMT, or $SBUX l…"
2020-06-23 06:10:26,traderkhristina,0,12100,"$NKE 12.7%
","RT @OMillionaires: Some implied moves for #earnings next week:

(S&amp;P 9.9%)

$NKE 12.7%
$HOME 45.6%
$MU 15.9%
$SCVL 28.0%
$FDS 17.0%
$LULU 1…"
2020-06-23 06:15:00,sbwcws,0,149,$NKE,"Nike price target raised to $117 from $108 at BTIG
$NKE"
2020-06-23 06:17:10,ProfectuSystems,0,400,$NKE,Fundamental Income Generator trading system: https://t.co/POeECWTOhM #fundamental #income $PSX $MON $BUD $UTX $AAPL $BAC $SBUX $NKE
2020-06-23 06:19:02,c_labrinos,0,258,$NKERT @PROFECTUSYSTEMS: FUNDAMENTAL INCOME GENERATOR TRADING SYSTEM: HTTPS://T.CO/POEECWTOHM #FUNDAMENTAL #INCOME ,RT @ProfectuSystems: Fundamental Income Generator trading system: https://t.co/POeECWTOhM #fundamental #income $PSX $MON $BUD $UTX $AAPL $B…
2020-06-23 06:24:20,LiveSquawk,0,134912,$NKE,Needham Raises PT On Nike To $113 From $80 $NKE
2020-06-23 06:27:03,FiTraders,1,1319,$NKE - NEEDHAM RAISES PT ON NIKE TO ,"$NOW - JEFFERIES RAISES PT TO $465 FROM $375, KEEPS BUY RATING -- BUSINESS MAY PERFORM BETTER THAN EXPECTED BASED ON POSITIVE PARTNER &amp; CUSTOMER FEEDBACK

$NKE - Needham Raises PT On Nike To $113 From $80"
2020-06-23 06:27:19,ManSherv,0,99,$NKERT @FITRADERS: ,"RT @FiTraders: $NOW - JEFFERIES RAISES PT TO $465 FROM $375, KEEPS BUY RATING -- BUSINESS MAY PERFORM BETTER THAN EXPECTED BASED ON POSITIV…"
2020-06-23 06:29:30,InvincibleBull,0,568,$NKE ,"Can’t have red in the market. Changed his mind and said not what he meant. 😂😂😂🤦🏻‍♂️
$SPY $MSFT $AMZN $FB $SBUX $JPM $CMG $JNJ $BABA $NKE $CCL $UNH $NVDA $DIS $VZ $TSLA $QQQ $MSI $WMT $NOW $NFLX $DECK $MELI $BKNG $PLNT $BA $CCL $WYNN $RCL $AAL https://t.co/b22n6F85Ce"
2020-06-23 06:31:34,GarCapital,0,4627,$NKE,RT @LiveSquawk: Needham Raises PT On Nike To $113 From $80 $NKE
2020-06-23 06:32:21,GreenMonsterah,0,2961,$NKE,RT @LiveSquawk: Needham Raises PT On Nike To $113 From $80 $NKE
2020-06-23 06:32:54,jeffwills08,0,343,$NKE,https://t.co/L4C2R8zEgz  Big upgrade before Thursday $nke
2020-06-23 06:33:47,InsidrFinancial,0,4891,$NKE ,"$WYNN $MGM $OXY $BP $MAR $DIS $NKE $SBUX $BA $CLL

#stocks #stockstobuy #stockstowatch #wynn #mgm #starbucks #carnival #nike #marriott #disney #dis

https://t.co/8CWyNyaDSm"
2020-06-23 06:34:11,c_labrinos,0,258,"$NKERT @INVINCIBLEBULL: CAN’T HAVE RED IN THE MARKET. CHANGED HIS MIND AND SAID NOT WHAT HE MEANT. 😂😂😂🤦🏻‍♂️
","RT @InvincibleBull: Can’t have red in the market. Changed his mind and said not what he meant. 😂😂😂🤦🏻‍♂️
$SPY $MSFT $AMZN $FB $SBUX $JPM $CM…"
2020-06-23 06:35:47,GrnBulls,0,67,$NKE,"NEEDHAM MAINTAINS BUY ON NIKE, RAISES PRICE TARGET TO $113 $NKE"
2020-06-23 06:45:45,Tickeron,0,4585,$NKE IN UPTREND: STOCHASTIC INDICATOR PEAKS AND LEAVES OVERSOLD ZONE. VIEW ODDS FOR THIS AND OTHER INDICATORS: HTTPS://T.CO/FMLVK9TRHM #STOCKMARKET #STOCK #TECHNICALANALYSIS #MONEY #TRADING #INVESTING #DAYTRADING #NEWS #TODAY HTTPS://T.CO/FIH9CPTOLO,$NKE in Uptrend: Stochastic indicator peaks and leaves oversold zone. View odds for this and other indicators: https://t.co/fmlvK9TRHM #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/FIH9cptOlO
2020-06-23 06:54:25,IcemanTrading,1,12928,$NKE RAISED TO ,"$AAPL Raised to $400 at UBS
$RCL Lowered to $60 at UBS 
$WHR Raised to $150 at GS
$SHW Raised to $640 at WF
$SEAS Raised to $19 at WF
$CRSP Raised to $61 at Stifel 
$AMBA int Buy @ Rosenblatt $60
$NKE Raised to $113 @ Needham
$MTCH Raised to $95 at BMO https://t.co/qha64kTbfX"
