Positive,Negative
BELIEVER,STALL
SMASH,STALLING
UPGRADE,CHOPPY
DROOL,DOWN
DROOLING,DOWNTREND
RAISE,FALL
RAISES,FALLS
RAISED,FELL
PROP,DISAPPOINT
PROPPED,DISAPPOINTED
SURGE,DISAPPOINTS
SURGING,DROP
SURGED,DROPS
UPGRADED,DROPPED
UPGRADES,LOSS
UPGRADING,WHACKED
UPTREND,WHACK
BUYING,FLOP
HIT,HORRENDOUS
HITS,OOF
POPULAR,DIP
BUY,DIPS
BOOST,JUNK
REMARKABLY,GOT HIT
STABLE,DOWN
BEATS,SUCKED
BEAT,BURNED
UP,SHAMELESS
SHOOTING,FALL
KILLED,FALLS
KILLS,FELL
KILL,STUMBLES
ITM,STUMBLE
BULLISH,STUMBLED
SUBSTANTIAL,CRASHED
GAINAGE,CRASH
REALIZATION,TERRIBLE
STRONG,
UPTREND,
BOOST,
STRENGTH,
UP,
CALLS_BULLISH_STOCK,
GREEN,
LONGGGGG,
CALLS_BULLISH_STOCK_OPTION,
BLOWOUT,
HIGHER,
JUMP,
JUMPS,
JUMPED,
PERK,
OVERSOLD,
PUMP,
WELL RUN,
DOUBLE BOTTOM,
