Symbol,Company,Market Cap(M),Time,Estimate,Reported,ESP,Price Change,Date
BOXL,Boxlight Corpor...,70,--,-0.05,--,0.00%,--,8/11/2020
SNGX,Soligenix Inc.,67,--,-0.1,--,0.00%,--,8/11/2020
DRIO,Dariohealth Cor...,67,--,-1.54,--,0.00%,--,8/11/2020
MOGO,Mogo Inc,62,amc,-0.07,--,42.86%,--,8/11/2020
UTSI,Utstarcom Holdi...,59,--,-0.03,--,0.00%,--,8/11/2020
NOVN,Novan Inc.,51,--,-0.1,--,0.00%,--,8/11/2020
ACER,Opexa Therapeut...,45,--,-0.38,--,0.00%,--,8/11/2020
HTGM,Htg Molecular D...,44,amc,-0.08,--,0.00%,--,8/11/2020
SSKN,Strata Skin Sci...,41,bmo,-0.03,--,0.00%,--,8/11/2020
GMO,"General Moly, I...",38,--,--,--,0.00%,--,8/11/2020
MOTS,Motus Gi Holdin...,35,amc,-0.21,--,0.00%,--,8/11/2020
THMO,Cesca Therapeut...,35,--,--,--,0.00%,--,8/11/2020
FTSI,Fts Internation...,34,--,-7.28,--,0.00%,--,8/11/2020
VTSI,"Virtra, Inc.",34,amc,-0.08,--,0.00%,--,8/11/2020
NCSM,Ncs Multistage...,31,bmo,-0.27,--,0.00%,--,8/11/2020
AZRX,Azurrx Biopharm...,31,--,-0.1,--,31.71%,--,8/11/2020
SLGG,Super League Ga...,30,amc,-0.37,--,0.00%,--,8/11/2020
DSS,Document Securi...,26,--,-0.68,--,0.00%,--,8/11/2020
VTNR,"Vertex Energy,...",26,bmo,-0.09,--,0.00%,--,8/11/2020
IDXG,Interpace Diagn...,25,--,-1.64,--,0.00%,--,8/11/2020
AEMD,Aethlon Medical...,25,amc,--,--,0.00%,--,8/11/2020
FTEK,"Fuel Tech, Inc....",23,--,-0.08,--,0.00%,--,8/11/2020
RCMT,Rcm Technologie...,22,bmo,-0.15,--,0.00%,--,8/11/2020
TGEN,Tecogen Inc.,21,--,-0.02,--,0.00%,--,8/11/2020
ESEA,Euroseas Ltd.,15,amc,0.07,--,0.00%,--,8/11/2020
YTEN,"Metabolix, Inc....",13,amc,--,--,0.00%,--,8/11/2020
FTRCQ,Frontier Commun...,10,--,--,--,0.00%,--,8/11/2020
NVUS,Novus Therapeut...,8,--,--,--,0.00%,--,8/11/2020
STAF,Staffing 360 So...,7,amc,-0.33,--,0.00%,--,8/11/2020
VVUSQ,"Vivus, Inc.",4,--,-0.6,--,0.00%,--,8/11/2020
RMED,Ra Medical Syst...,4,amc,-0.17,--,0.00%,--,8/11/2020
WIZP,"Wize Pharma, In...",3,--,--,--,0.00%,--,8/11/2020
QMCI,Quotemedia Inc....,NA,--,0,--,0.00%,--,8/11/2020
CSCO,"Cisco Systems,...","199,841",amc,0.74,--,2.96%,--,8/12/2020
M,"Macys, Inc.","1,986",--,-1.94,--,0.00%,--,8/12/2020
TCEHY,Tencent Holding...,"692,272",--,0.42,--,-2.38%,--,8/12/2020
YY,Yy Inc.,"6,863",amc,0.76,--,0.00%,--,8/12/2020
CACI,Caci Internatio...,"5,155",amc,3.37,--,0.00%,--,8/12/2020
VIPS,Vipshop Holding...,"15,704",--,0.28,--,0.00%,--,8/12/2020
WLL,Whiting Petrole...,101,--,-1.45,--,-14.06%,--,8/12/2020
DQ,Daqo New Energy...,"1,732",--,-0.03,--,0.00%,--,8/12/2020
WPM,Wheaton Preciou...,"25,235",amc,0.19,--,-3.82%,--,8/12/2020
PGTI,"Pgt, Inc.","1,071",bmo,0.15,--,0.54%,--,8/12/2020
STNE,Stoneco Ltd.,"13,274",--,0.12,--,0.00%,--,8/12/2020
WPG,Washington Prim...,135,--,0.12,--,0.00%,--,8/12/2020
TTNP,Titan Pharmaceu...,29,--,-0.03,--,0.00%,--,8/12/2020
MLCO,Melco Resorts...,"7,754",--,-1.16,--,-35.06%,--,8/12/2020
OGEN,"Oragenics, Inc....",63,--,-0.09,--,0.00%,--,8/12/2020
ENS,Enersys,"3,011",amc,0.68,--,0.00%,--,8/12/2020
AZPN,Aspen Technolog...,"6,921",amc,1.18,--,0.00%,--,8/12/2020
MBOT,Microbot Medica...,51,--,-0.27,--,0.00%,--,8/12/2020
LNVGY,Lenovo Group Lt...,"7,539",--,0.33,--,0.00%,--,8/12/2020
ARCO,Arcos Dorados H...,982,bmo,-0.58,--,0.00%,--,8/12/2020
SSNLF,Samsung Electro...,"13,193,219",--,0.74,--,25.68%,--,8/12/2020
ZTO,Zto Express Cay...,"21,446",amc,0.28,--,0.00%,--,8/12/2020
ALT,"Altimmune, Inc....",869,bmo,-0.29,--,0.00%,--,8/12/2020
WF,Woori Bank,"5,164",--,--,--,0.00%,--,8/12/2020
EAT,Brinker Interna...,"1,260",bmo,-1.48,--,-0.15%,--,8/12/2020
CAE,Cae Inc,"4,029",bmo,-0.02,--,-350.00%,--,8/12/2020
MRAAY,Murata Manufact...,"39,916",--,--,--,0.00%,--,8/12/2020
ISNPY,Intesa Sanpaolo...,"37,938",--,--,--,0.00%,--,8/12/2020
DBOEY,Deutsche Boerse...,"33,819",--,0.17,--,0.00%,--,8/12/2020
JAPAY,Japan Tob Inc,"33,222",--,0.2,--,20.00%,--,8/12/2020
SCMWY,Swisscom Ag,"27,678",--,--,--,0.00%,--,8/12/2020
DSDVY,Dsv As Uns Adr,"26,300",--,0.54,--,0.00%,--,8/12/2020
RPRX,Royalty Pharma...,"24,964",bmo,0.61,--,0.00%,--,8/12/2020
RWEOY,Rwe Ag,"23,932",--,--,--,0.00%,--,8/12/2020
GMAB,Genmab As Spons...,"23,636",--,0.88,--,-4.18%,--,8/12/2020
JRONY,Jeronimo Martin...,"10,759",--,0.29,--,0.00%,--,8/12/2020
KEP,Korea Electric...,"10,207",--,--,--,0.00%,--,8/12/2020
LYFT,"Lyft, Inc.","9,477",amc,-1.56,--,-5.40%,--,8/12/2020
COVTY,Covestro Ag Spo...,"7,388",--,-0.19,--,0.00%,--,8/12/2020
VRM,"Vroom, Inc.","7,300",amc,-0.77,--,0.00%,--,8/12/2020
HLUYY,H Lundbeck As,"7,279",--,0.49,--,5.15%,--,8/12/2020
BIOVF,Swedish Orp Bio...,"6,351",--,0.24,--,0.00%,--,8/12/2020
TKC,Turkcell Iletis...,"4,778",--,--,--,0.00%,--,8/12/2020
BHOOY,Boohoo Grp Plc,"4,242",--,--,--,0.00%,--,8/12/2020
EVTCY,Evotec Ag,"4,165",--,--,--,0.00%,--,8/12/2020
TRNO,Terreno Realty...,"4,127",--,0.35,--,0.00%,--,8/12/2020
PFGC,Performance Foo...,"4,102",bmo,-0.01,--,0.00%,--,8/12/2020
UGP,Ultrapar Partic...,"3,962",--,--,--,0.00%,--,8/12/2020
ONEM,1life Healthcar...,"3,818",amc,-0.32,--,-14.66%,--,8/12/2020
NCTKF,Nabtesco Cp Tky...,"3,657",--,0.26,--,0.00%,--,8/12/2020
SDC,Smiledirectclub...,"3,608",amc,-0.15,--,0.00%,--,8/12/2020
LMND,"Lemonade, Inc.","3,540",bmo,-1.29,--,0.00%,--,8/12/2020
BBIO,Bridgebio Pharm...,"3,386",--,-0.79,--,0.00%,--,8/12/2020
ELP,Companhia Paran...,"3,109",--,--,--,0.00%,--,8/12/2020
PING,Ping Identity H...,"2,977",amc,0.02,--,23.08%,--,8/12/2020
CYDY,Cytodyn Inc.,"2,715",--,-0.05,--,0.00%,--,8/12/2020
AIT,Applied Industr...,"2,554",bmo,0.68,--,-0.74%,--,8/12/2020
APG,Api Group Corpo...,"2,446",bmo,0.18,--,0.00%,--,8/12/2020
EUTLF,Eutelsat Commun...,"2,311",--,--,--,0.00%,--,8/12/2020
KOD,Kodiak Sciences...,"2,087",--,-0.61,--,0.00%,--,8/12/2020
VIE,"Viela Bio, Inc....","1,807",amc,-1.03,--,0.00%,--,8/12/2020
GGAL,Grupo Financier...,"1,805",--,0.79,--,0.00%,--,8/12/2020
INVVY,Indivior Plc,"1,649",--,--,--,0.00%,--,8/12/2020
LPRO,Nebula Acquisit...,"1,595",--,0.07,--,0.00%,--,8/12/2020
JMIA,Jumia Techadr,"1,299",bmo,-0.6,--,0.00%,--,8/12/2020
RVLV,"Revolve Group,...","1,169",amc,0.03,--,-21.74%,--,8/12/2020
MSC,Studio City Ih,"1,157",--,-2.84,--,0.00%,--,8/12/2020
STOK,Stoke Therapeut...,884,--,-0.36,--,0.00%,--,8/12/2020
SPTN,Spartannash Com...,770,amc,0.62,--,0.00%,--,8/12/2020
CODX,"Codiagnostics,...",758,--,0.61,--,0.00%,--,8/12/2020
PNTG,The Pennant Gro...,731,--,0.12,--,0.00%,--,8/12/2020
TOPCF,Topcon Corp,724,--,-0.06,--,0.00%,--,8/12/2020
MNRL,Brigham Mineral...,683,amc,-0.04,--,-6.25%,--,8/12/2020
VREX,Varex Imaging,649,amc,-0.06,--,0.00%,--,8/12/2020
MMX,Maverix Metals...,641,--,0.01,--,0.00%,--,8/12/2020
CYD,China Yuchai In...,560,bmo,0.61,--,0.00%,--,8/12/2020
XPEL,"Xpel, Inc.",555,bmo,0.05,--,0.00%,--,8/12/2020
CVM,Celsci Corporat...,462,--,-0.15,--,0.00%,--,8/12/2020
AXU,Alexco Resource...,438,--,-0.01,--,0.00%,--,8/12/2020
ETNB,89bio Inc,416,--,-0.85,--,4.49%,--,8/12/2020
NLTX,Aquinox Pharmac...,408,amc,-0.19,--,5.26%,--,8/12/2020
KMDA,Kamada Ltd.,398,bmo,0.12,--,0.00%,--,8/12/2020
VLOWY,Vallourec Sa,384,--,--,--,0.00%,--,8/12/2020
KLDI,Pivotal Acquisi...,368,amc,-0.32,--,0.00%,--,8/12/2020
BLBD,Blue Bird Corpo...,357,amc,0.15,--,0.00%,--,8/12/2020
VFF,Village Farms I...,345,amc,0,--,0.00%,--,8/12/2020
OSW,Haymaker Acquis...,343,bmo,-0.19,--,0.00%,--,8/12/2020
TUFN,Tufin Software...,311,bmo,-0.29,--,0.00%,--,8/12/2020
IMV,Imv Inc,311,bmo,-0.12,--,10.81%,--,8/12/2020
REVB,Revere Bank,274,--,0.71,--,0.00%,--,8/12/2020
TNAV,"Telenav, Inc.",265,amc,-0.14,--,0.00%,--,8/12/2020
BSGM,Biosig Technolo...,209,--,--,--,0.00%,--,8/12/2020
EDN,Empresa Distrib...,206,--,--,--,0.00%,--,8/12/2020
FUV,"Arcimoto, Inc.",199,--,-0.12,--,-8.70%,--,8/12/2020
ONTX,Onconova Therap...,187,--,-0.03,--,0.00%,--,8/12/2020
YCBD,"Cbdmd, Inc.",185,amc,--,--,0.00%,--,8/12/2020
HTBX,"Heat Biologics,...",185,--,-0.08,--,0.00%,--,8/12/2020
NBSE,Ohr Pharmaceuti...,183,--,-0.24,--,0.00%,--,8/12/2020
ATXI,Avenue Therapeu...,173,--,-0.1,--,0.00%,--,8/12/2020
PRTH,Priority Techno...,156,amc,-0.21,--,0.00%,--,8/12/2020
TELA,"Tela Bio, Inc.",151,amc,-0.63,--,0.00%,--,8/12/2020
ETON,Eton Pharmaceut...,144,amc,-0.28,--,0.00%,--,8/12/2020
PCOM,Points Internat...,125,amc,-0.13,--,0.00%,--,8/12/2020
WINT,Windtree Therap...,124,--,--,--,0.00%,--,8/12/2020
OTLK,"Oncobiologics,...",122,--,-0.06,--,0.00%,--,8/12/2020
BIOC,"Biocept, Inc.",117,amc,-0.04,--,0.00%,--,8/12/2020
SLDB,Solid Bioscienc...,117,--,-0.47,--,0.00%,--,8/12/2020
CSSE,Chicken Soup Fo...,115,--,-0.48,--,0.00%,--,8/12/2020
VCNX,"Vaccinex, Inc.",113,--,-0.51,--,0.00%,--,8/12/2020
NEON,Neonode Inc.,85,--,--,--,0.00%,--,8/12/2020
PSTL,Postal Realty T...,80,--,0.29,--,0.00%,--,8/12/2020
SACH,Sachem Capital...,74,--,--,--,0.00%,--,8/12/2020
ACST,"Acasti Pharma,...",74,--,-0.07,--,0.00%,--,8/12/2020
CHRA,Charah Solution...,74,bmo,-0.01,--,0.00%,--,8/12/2020
VEL,Velocity Financ...,74,--,0.14,--,0.00%,--,8/12/2020
EYEN,"Eyenovia, Inc.",70,amc,-0.21,--,0.00%,--,8/12/2020
EDSA,"Edesa Biotech,...",70,--,-0.21,--,0.00%,--,8/12/2020
BWAY,Brainsway Ltd....,66,bmo,-0.12,--,0.00%,--,8/12/2020
CLPT,Mri Interventio...,64,amc,-0.16,--,-12.50%,--,8/12/2020
NETE,"Net Element, In...",62,--,-0.94,--,0.00%,--,8/12/2020
CTXR,Citius Pharmace...,57,--,-0.11,--,0.00%,--,8/12/2020
BRFH,Barfresh Food G...,52,--,-0.01,--,0.00%,--,8/12/2020
INUV,"Inuvo, Inc",50,--,-0.04,--,0.00%,--,8/12/2020
JCS,Communications...,47,--,-0.05,--,0.00%,--,8/12/2020
USIO,Usio Inc,45,--,-0.1,--,0.00%,--,8/12/2020
JAGX,Jaguar Animal H...,43,--,--,--,0.00%,--,8/12/2020
ARMP,Ampliphi Biosci...,43,--,-0.23,--,0.00%,--,8/12/2020
HEPA,Contravir Pharm...,41,--,-0.5,--,0.00%,--,8/12/2020
SRAX,Social Reality...,40,--,-0.53,--,0.00%,--,8/12/2020
CLSN,Celsion Corpora...,38,--,-0.14,--,-42.86%,--,8/12/2020
HOTH,Hoth Therapeuti...,38,--,-0.14,--,0.00%,--,8/12/2020
CELP,Cypress Energy...,33,--,-0.08,--,0.00%,--,8/12/2020
DARE,Dare Bioscience...,32,amc,-0.14,--,0.00%,--,8/12/2020
WLMS,Williams Indust...,31,--,-0.01,--,0.00%,--,8/12/2020
SONN,Chanticleer Hol...,31,--,--,--,0.00%,--,8/12/2020
FSI,Flexible Soluti...,28,--,0.05,--,0.00%,--,8/12/2020
KMPH,"Kempharm, Inc.",27,amc,0,--,0.00%,--,8/12/2020
ALPE,Alphaen Corpora...,27,--,--,--,0.00%,--,8/12/2020
SBPH,Spring Bank Pha...,27,--,-0.36,--,0.00%,--,8/12/2020
CYCC,Cyclacel Pharma...,24,amc,-0.47,--,0.00%,--,8/12/2020
QRHC,Quest Resource...,23,--,-0.06,--,0.00%,--,8/12/2020
CNFR,Conifer Holding...,22,amc,-0.06,--,68.42%,--,8/12/2020
SONM,Sonim Technolog...,22,--,-0.29,--,0.00%,--,8/12/2020
OEG,"Cui Global, Inc...",19,--,-0.42,--,0.00%,--,8/12/2020
SLRX,"Flex Pharma, In...",17,amc,--,--,0.00%,--,8/12/2020
TENX,Tenax Therapeut...,13,--,-0.22,--,0.00%,--,8/12/2020
EAST,Eastside Distil...,12,--,-0.25,--,0.00%,--,8/12/2020
NAOV,"Nanovibronix, I...",7,--,--,--,0.00%,--,8/12/2020
SNES,"Senestech, Inc....",7,amc,-1.13,--,0.00%,--,8/12/2020
INLX,"Intellinetics,...",NA,--,-0.2,--,0.00%,--,8/12/2020
AMAT,Applied Materia...,"59,452",amc,0.95,--,0.00%,--,8/13/2020
IQ,"Iqiyi, Inc. Spo...","16,705",amc,-0.44,--,10.69%,--,8/13/2020
BIDU,"Baidu, Inc.","43,523",amc,1.39,--,-4.81%,--,8/13/2020
AEYE,"Audioeye, Inc.",105,amc,-0.18,--,0.00%,--,8/13/2020
MYGN,Myriad Genetics...,929,amc,-0.36,--,0.00%,--,8/13/2020
AVEO,Aveo Pharmaceut...,71,--,-0.51,--,0.00%,--,8/13/2020
NTES,"Netease, Inc.","61,527",bmo,3.74,--,0.00%,--,8/13/2020
FLY,Fly Leasing Lim...,216,bmo,0.43,--,0.00%,--,8/13/2020
BAM,Brookfield Asse...,"51,131",bmo,0.43,--,0.00%,--,8/13/2020
TPR,"Tapestry, Inc.","3,794",bmo,-0.49,--,-10.88%,--,8/13/2020
RWLK,Rewalk Robotics...,25,--,-0.27,--,0.00%,--,8/13/2020
CLBS,Caladrius Biosc...,40,amc,-0.36,--,0.00%,--,8/13/2020
AQN,Algonquin Power...,"8,022",amc,0.12,--,0.00%,--,8/13/2020
SOLO,Electrameccanic...,236,--,-0.12,--,0.00%,--,8/13/2020
ARAY,Accuray Incorpo...,234,amc,0.02,--,0.00%,--,8/13/2020
IIVI,Iivi Incorporat...,"4,784",bmo,0.76,--,4.78%,--,8/13/2020
NLST,"Netlist, Inc.",140,--,-0.01,--,0.00%,--,8/13/2020
TNK,Teekay Tankers...,523,bmo,2.9,--,0.00%,--,8/13/2020
FUJIY,Fujifilm Holdin...,"18,673",--,0.34,--,0.00%,--,8/13/2020
SESN,"Sesen Bio, Inc....",110,--,-0.09,--,0.00%,--,8/13/2020
GLPG,Galapagos Nv,"12,518",--,-1.07,--,-14.45%,--,8/13/2020
OMER,Omeros Corporat...,753,--,-0.54,--,0.00%,--,8/13/2020
TYME,Tyme Technologi...,161,--,-0.06,--,0.00%,--,8/13/2020
MGIC,Magic Software...,643,bmo,0.15,--,0.00%,--,8/13/2020
FSM,Fortuna Silver...,"1,297",amc,-0.04,--,50.00%,--,8/13/2020
GTT,Gtt Communicati...,346,--,-0.47,--,0.00%,--,8/13/2020
DTEGY,Deutsche Teleko...,"82,088",--,--,--,0.00%,--,8/13/2020
TRUMY,Terumo Corp.,"29,507",--,--,--,0.00%,--,8/13/2020
UNICY,Unicharm Corp,"26,370",--,0.04,--,0.00%,--,8/13/2020
SSDOY,Shiseido Co.,"23,105",--,-0.03,--,-260.00%,--,8/13/2020
GZPFY,Gazprom Neft Oa...,"20,862",--,--,--,0.00%,--,8/13/2020
SOMLY,Secom Co.,"20,766",--,--,--,0.00%,--,8/13/2020
NRILY,Nomura Resh Ltd...,"18,150",--,--,--,0.00%,--,8/13/2020
NVZMY,Novozymes As,"17,761",--,0.35,--,0.00%,--,8/13/2020
SNYFY,Sony Financial...,"10,399",--,--,--,0.00%,--,8/13/2020
JHX,James Hardie In...,"9,615",--,--,--,0.00%,--,8/13/2020
FTCH,Farfetch Limite...,"9,342",amc,-0.36,--,0.00%,--,8/13/2020
TMICY,Trend Micro Inc...,"8,606",--,--,--,0.00%,--,8/13/2020
AHEXY,Adecco Sa,"7,993",--,--,--,0.00%,--,8/13/2020
ESLT,Elbit Systems L...,"6,004",bmo,1.66,--,0.00%,--,8/13/2020
YAMHF,Yamaha Motor Co...,"5,518",--,-0.25,--,0.00%,--,8/13/2020
CDEVY,City Developmen...,"5,473",--,--,--,0.00%,--,8/13/2020
AZEK,The Azek Compan...,"5,080",bmo,0.15,--,0.00%,--,8/13/2020
DAO,"Youdao, Inc. Un...","4,966",bmo,--,--,0.00%,--,8/13/2020
ZLAB,Zai Lab Limited...,"4,718",bmo,--,--,0.00%,--,8/13/2020
BKNIY,Bankinter Sa,"4,647",--,--,--,0.00%,--,8/13/2020
BRFS,Brf S.a.,"3,185",--,--,--,0.00%,--,8/13/2020
FRTAF,Freenet Ag,"2,250",--,--,--,0.00%,--,8/13/2020
DNACF,Dena Co Ltd Tok...,"1,895",--,--,--,0.00%,--,8/13/2020
WCC,Wesco Internati...,"1,745",bmo,0.59,--,0.00%,--,8/13/2020
RVMD,Revolution Medi...,"1,449",--,-0.34,--,0.00%,--,8/13/2020
GHG,Greentree Hospi...,"1,331",amc,0.1,--,0.00%,--,8/13/2020
GOSS,"Gossamer Bio, I...",879,--,-0.84,--,0.00%,--,8/13/2020
TGP,Teekay Lng Part...,876,bmo,0.67,--,-1.49%,--,8/13/2020
USNZY,Usinas Siderurg...,834,--,-0.03,--,120.00%,--,8/13/2020
FPH,Five Point Hold...,764,--,--,--,0.00%,--,8/13/2020
HOLI,Hollysys Automa...,762,amc,0.49,--,0.00%,--,8/13/2020
ATEX,"Pdvwireless, In...",760,--,-0.48,--,0.00%,--,8/13/2020
FREQ,Frequency Thera...,669,--,-0.22,--,12.31%,--,8/13/2020
LOMA,Loma Negra Comp...,652,--,--,--,0.00%,--,8/13/2020
FIXX,Homology Medici...,590,--,-0.81,--,0.00%,--,8/13/2020
CUE,"Cue Biopharma,...",583,--,-0.41,--,0.00%,--,8/13/2020
RAPT,Rapt Theraptics...,548,--,-0.49,--,0.00%,--,8/13/2020
ANAB,"Anaptysbio, Inc...",485,--,-0.75,--,0.00%,--,8/13/2020
NVGS,Navigator Holdi...,435,--,-0.05,--,0.00%,--,8/13/2020
TCRR,Tcr2 Therapeuti...,408,--,-0.61,--,3.67%,--,8/13/2020
BRP,"Brp Group, Inc....",357,amc,0.11,--,21.87%,--,8/13/2020
BLNK,Blink Charging...,354,amc,-0.1,--,0.00%,--,8/13/2020
GRWG,Growgeneration...,354,bmo,0.04,--,-4.55%,--,8/13/2020
DTIL,Precision Biosc...,352,bmo,-0.6,--,0.00%,--,8/13/2020
CDZI,"Cadiz, Inc.",350,--,-0.13,--,0.00%,--,8/13/2020
MTA,Metalla Royalty...,328,--,-0.06,--,0.00%,--,8/13/2020
OSMT,Osmotica Pharm,288,--,-0.16,--,12.50%,--,8/13/2020
SMTS,Sierra Metals I...,264,amc,-0.01,--,0.00%,--,8/13/2020
UROV,Urovant Science...,259,amc,-1.36,--,0.00%,--,8/13/2020
DYAI,Dyadic Internat...,237,amc,-0.05,--,0.00%,--,8/13/2020
HOOK,Hookipa Pharma...,229,bmo,-0.46,--,0.00%,--,8/13/2020
ALTG,Alta Equipment,221,amc,-0.1,--,36.84%,--,8/13/2020
VERU,Female Health C...,217,bmo,-0.03,--,0.00%,--,8/13/2020
XCUR,"Exicure, Inc.",207,--,-0.09,--,0.00%,--,8/13/2020
REDU,Rise Education...,192,amc,-0.26,--,0.00%,--,8/13/2020
APTX,Aptinyx Inc.,178,amc,-0.29,--,0.00%,--,8/13/2020
ARWGF,Arrow Global Gp...,171,--,--,--,0.00%,--,8/13/2020
BLU,Bellus Health I...,168,--,-0.19,--,0.00%,--,8/13/2020
CDTX,Cidara Therapeu...,165,--,-0.24,--,0.00%,--,8/13/2020
TFFP,Tff Pharmaceuti...,163,amc,-0.21,--,0.00%,--,8/13/2020
CMCT,Cim Commercial...,158,--,-0.43,--,0.00%,--,8/13/2020
RIOT,Riot Blockchain...,139,--,-0.17,--,0.00%,--,8/13/2020
MTBC,"Mtbc, Inc.",137,bmo,-0.66,--,-4.80%,--,8/13/2020
NAVB,Navidea Biophar...,124,--,-0.1,--,0.00%,--,8/13/2020
PHGE,Chardan Healthc...,124,bmo,--,--,0.00%,--,8/13/2020
LUMO,"Lumos Pharma, I...",116,amc,-0.7,--,-4.29%,--,8/13/2020
KEGX,Key Energy Serv...,116,--,-2.36,--,0.00%,--,8/13/2020
MRKR,Marker Therapeu...,102,--,-0.14,--,0.00%,--,8/13/2020
VERO,Restoration Rob...,98,amc,-0.36,--,0.00%,--,8/13/2020
ADMP,Adamis Pharmace...,94,--,-0.07,--,0.00%,--,8/13/2020
SHSP,"Sharpspring, In...",93,amc,-0.1,--,0.00%,--,8/13/2020
ALYA,Alithya Group I...,81,bmo,-0.04,--,0.00%,--,8/13/2020
INSE,Inspired Entert...,79,bmo,-1.02,--,0.00%,--,8/13/2020
EMAN,Emagin Corporat...,77,bmo,-0.01,--,0.00%,--,8/13/2020
CWBR,Cohbar Inc.,73,amc,-0.06,--,0.00%,--,8/13/2020
IZEA,"Izea Worldwide,...",69,amc,--,--,0.00%,--,8/13/2020
WYY,Widepoint Corpo...,68,amc,0,--,0.00%,--,8/13/2020
PDSB,Edge Therapeuti...,67,bmo,-0.26,--,0.00%,--,8/13/2020
HYRE,Hyrecar Inc.,66,amc,-0.23,--,0.00%,--,8/13/2020
BNGO,Bionano Genomic...,63,--,-0.09,--,0.00%,--,8/13/2020
ARPO,Aerpio Pharmace...,61,--,0.27,--,0.00%,--,8/13/2020
VBLT,Vascular Biogen...,56,bmo,-0.14,--,0.00%,--,8/13/2020
DFFN,Restorgenex Cor...,55,--,-0.06,--,0.00%,--,8/13/2020
JRSH,Jerash Holdings...,50,bmo,-0.01,--,0.00%,--,8/13/2020
DCTH,Delcath Systems...,49,--,-1.38,--,0.00%,--,8/13/2020
NMTR,Innovate Biopha...,49,--,--,--,0.00%,--,8/13/2020
STKS,The One Group H...,40,--,-0.23,--,0.00%,--,8/13/2020
LIFE,"Atyr Pharma, In...",38,amc,-0.73,--,0.00%,--,8/13/2020
RKDA,Arcadia Bioscie...,37,amc,-0.61,--,0.00%,--,8/13/2020
LMB,Limbach Holding...,36,amc,-0.33,--,0.00%,--,8/13/2020
UFAB,Unique Fabricat...,31,bmo,-0.55,--,0.00%,--,8/13/2020
ZOM,Zomedica Pharma...,26,--,-0.01,--,0.00%,--,8/13/2020
HSDT,Helius Medical...,26,--,-0.12,--,0.00%,--,8/13/2020
IGXT,Intelgenx Techn...,21,--,--,--,0.00%,--,8/13/2020
BIOL,"Biolase, Inc.",21,amc,-0.2,--,0.00%,--,8/13/2020
EYEG,Eyegate Pharmac...,18,--,-0.43,--,0.00%,--,8/13/2020
RGLS,Regulus Therape...,16,--,-0.21,--,0.00%,--,8/13/2020
XELB,"Xcel Brands, In...",16,--,0.03,--,0.00%,--,8/13/2020
VIVE,"Viveve Medical,...",9,amc,--,--,0.00%,--,8/13/2020
GEENQ,Global Eagle En...,3,--,-15.44,--,8.94%,--,8/13/2020
ELGXQ,"Endologix, Inc....",1,--,-0.87,--,0.00%,--,8/13/2020
SNNAQ,Sienna Biopharm...,0,--,--,--,0.00%,--,8/13/2020
HHS,"Hartehanks, Inc...",NA,--,-0.24,--,0.00%,--,8/13/2020
CVIA,Covia Holdings,NA,--,--,--,0.00%,--,8/13/2020
BSTC,Biospecifics Te...,474,--,-0.05,--,0.00%,--,8/14/2020
ATNM,Actinium Pharma...,224,--,-0.02,--,0.00%,--,8/14/2020
GALT,Galectin Therap...,153,--,-0.09,--,0.00%,--,8/14/2020
SRNE,Sorrento Therap...,"3,336",--,-0.22,--,0.00%,--,8/14/2020
ABEO,Abeona Therapeu...,247,--,-0.17,--,0.00%,--,8/14/2020
RCRRF,Recruit Holding...,"57,699",--,--,--,0.00%,--,8/14/2020
SMCAY,Smc Corporation...,"35,288",--,0.17,--,0.00%,--,8/14/2020
TKOMY,Tokio Marine Ho...,"30,879",--,--,--,0.00%,--,8/14/2020
UI,Ubiquiti Inc.,"12,199",--,1.13,--,0.00%,--,8/14/2020
DKNG,Draftkings Inc....,"10,798",bmo,-0.1,--,0.00%,--,8/14/2020
LEGIF,Leg Immobilien...,"10,300",--,--,--,0.00%,--,8/14/2020
TRYIY,Toray Industrie...,"7,503",--,--,--,0.00%,--,8/14/2020
TEO,Telecom Argenti...,"3,890",--,-0.14,--,144.44%,--,8/14/2020
JFEEF,Jfe Holdings In...,"3,806",--,--,--,0.00%,--,8/14/2020
SOHVY,Sumitomo Heavy,"2,843",--,-0.02,--,0.00%,--,8/14/2020
SILV,Silvercrest Met...,"1,316",--,-0.07,--,28.57%,--,8/14/2020
CRTX,"Cortexyme, Inc....","1,228",--,-0.63,--,0.00%,--,8/14/2020
NXE,Nexgen Energy L...,665,--,-0.01,--,0.00%,--,8/14/2020
FBIO,Fortress Biotec...,242,--,-0.28,--,0.00%,--,8/14/2020
MARK,Remark Holdings...,168,bmo,-0.05,--,0.00%,--,8/14/2020
MBIO,"Mustang Bio, In...",141,--,-0.28,--,0.00%,--,8/14/2020
FGBI,First Guaranty...,121,--,0.3,--,0.00%,--,8/14/2020
AXGT,Axovant Science...,121,--,-0.46,--,0.00%,--,8/14/2020
SFUN,Fang Holdings L...,115,bmo,--,--,0.00%,--,8/14/2020
LPTX,Leap Therapeuti...,115,--,-0.17,--,0.00%,--,8/14/2020
NRBO,Neurobo Pharmac...,108,--,-0.27,--,0.00%,--,8/14/2020
CFRX,Contrafect Corp...,91,--,-0.33,--,0.00%,--,8/14/2020
CAAS,China Automotiv...,86,bmo,-0.04,--,0.00%,--,8/14/2020
BXRX,"Baudax Bio, Inc...",62,--,-0.74,--,0.00%,--,8/14/2020
