Ticker,Name,Date,Time
ASNA,"Ascena Retail Group, Inc.",12/14/2020,Estimated
TRC,Tejon Ranch Co.,12/14/2020,Estimated
UBA,Urstadt Biddle Properties Inc.,12/14/2020,Estimated
VNCE,Vince Holding Corp.,12/14/2020,Pre-Market
RICK,"RCI Hospitality Holdings, Inc.",12/14/2020,Estimated
NDSN,Nordson Corporation,12/15/2020,Post-Market
MTSC,MTS Systems Corporation,12/15/2020,Pre-Market
MLHR,"Herman Miller, Inc.",12/16/2020,Post-Market
TTC,The Toro Company,12/16/2020,Estimated
LEN,Lennar Corporation,12/16/2020,Post-Market
BLBD,Blue Bird Corporation,12/16/2020,Estimated
RFL,"Rafael Holdings, Inc.",12/16/2020,Estimated
CVM,CEL-SCI Corporation,12/16/2020,Estimated
ABM,ABM Industries Incorporated,12/16/2020,Post-Market
NAV,Navistar International Corporation,12/17/2020,Estimated
IMKTA,"Ingles Markets, Incorporated",12/17/2020,Estimated
SCS,Steelcase Inc.,12/17/2020,Post-Market
LDOS,"Leidos Holdings, Inc.",12/17/2020,Estimated
GIS,"General Mills, Inc.",12/17/2020,Estimated
CAMP,CalAmp Corp.,12/17/2020,Pre-Market
RAD,Rite Aid Corporation,12/17/2020,Estimated
ACN,Accenture plc,12/17/2020,Estimated
SAFM,"Sanderson Farms, Inc.",12/17/2020,Estimated
JBL,Jabil Inc.,12/17/2020,Pre-Market
WOR,"Worthington Industries, Inc.",12/17/2020,Pre-Market
AIR,AAR Corp.,12/17/2020,Post-Market
SCHL,Scholastic Corporation,12/17/2020,Post-Market
FDX,FedEx Corporation,12/17/2020,Post-Market
REVG,"REV Group, Inc.",12/18/2020,Estimated
PGR,The Progressive Corporation,12/18/2020,Estimated
NKE,"NIKE, Inc.",12/18/2020,Post-Market
KALV,"KalVista Pharmaceuticals, Inc.",12/18/2020,Estimated
AVXL,Anavex Life Sciences Corp.,12/18/2020,Estimated
CCL,Carnival Corporation & Plc,12/18/2020,Estimated
APOG,"Apogee Enterprises, Inc.",12/18/2020,Pre-Market
YCBD,"cbdMD, Inc.",12/18/2020,Estimated
WGO,"Winnebago Industries, Inc.",12/18/2020,Pre-Market
EBF,"Ennis, Inc.",12/18/2020,Estimated
DRI,"Darden Restaurants, Inc.",12/18/2020,Pre-Market
DJCO,Daily Journal Corporation,12/18/2020,Estimated
VALU,"Value Line, Inc.",12/18/2020,Estimated
FDS,FactSet Research Systems Inc.,12/21/2020,Estimated
HEI,HEICO Corporation,12/21/2020,Post-Market
CVGW,"Calavo Growers, Inc.",12/21/2020,Post-Market
NEOG,Neogen Corporation,12/22/2020,Estimated
CTAS,Cintas Corporation,12/22/2020,Pre-Market
KMX,"CarMax, Inc.",12/22/2020,Pre-Market
PAYX,"Paychex, Inc.",12/23/2020,Pre-Market
HURC,"Hurco Companies, Inc.",1/1/2021,Estimated
SGH,"SMART Global Holdings, Inc.",1/5/2021,Post-Market
MSM,"MSC Industrial Direct Co., Inc.",1/6/2021,Estimated
RPM,RPM International Inc.,1/6/2021,Pre-Market
SMPL,The Simply Good Foods Company,1/6/2021,Pre-Market
CCF,Chase Corporation,1/6/2021,Estimated
FC,Franklin Covey Co.,1/6/2021,Estimated
WDFC,WD-40 Company,1/7/2021,Post-Market
PCYO,Pure Cycle Corporation,1/7/2021,Estimated
CAG,"Conagra Brands, Inc.",1/7/2021,Pre-Market
MU,"Micron Technology, Inc.",1/7/2021,Estimated
STZ,"Constellation Brands, Inc.",1/7/2021,Pre-Market
BBBY,Bed Bath & Beyond Inc.,1/7/2021,Pre-Market
PSMT,"PriceSmart, Inc.",1/7/2021,Post-Market
LW,"Lamb Weston Holdings, Inc.",1/7/2021,Estimated
ANGO,"AngioDynamics, Inc.",1/7/2021,Pre-Market
AYI,"Acuity Brands, Inc.",1/7/2021,Estimated
WBA,"Walgreens Boots Alliance, Inc.",1/7/2021,Pre-Market
SNX,SYNNEX Corporation,1/8/2021,Estimated
AZZ,AZZ Inc.,1/8/2021,Estimated
SLP,"Simulations Plus, Inc.",1/8/2021,Estimated
KBH,KB Home,1/8/2021,Estimated
AXP,American Express Company,1/11/2021,Estimated
LMNR,Limoneira Company,1/11/2021,Estimated
CMC,Commercial Metals Company,1/11/2021,Estimated
CNBKA,"Century Bancorp, Inc.",1/12/2021,Estimated
CSX,CSX Corporation,1/12/2021,Estimated
WAFD,"Washington Federal, Inc.",1/13/2021,Estimated
MS,Morgan Stanley,1/13/2021,Estimated
BBCP,"Concrete Pumping Holdings, Inc.",1/14/2021,Estimated
GS,"The Goldman Sachs Group, Inc.",1/14/2021,Estimated
PNFP,"Pinnacle Financial Partners, Inc.",1/14/2021,Estimated
HOMB,"Home Bancshares, Inc. (Conway, AR)",1/14/2021,Estimated
HWC,Hancock Whitney Corporation,1/15/2021,Estimated
KMI,"Kinder Morgan, Inc.",1/15/2021,Estimated
FISV,"Fiserv, Inc.",1/15/2021,Estimated
MTG,MGIC Investment Corporation,1/15/2021,Estimated
EGBN,"Eagle Bancorp, Inc.",1/15/2021,Estimated
CTBI,"Community Trust Bancorp, Inc.",1/15/2021,Estimated
NFLX,"Netflix, Inc.",1/15/2021,Estimated
CVLY,"Codorus Valley Bancorp, Inc.",1/15/2021,Estimated
INFO,IHS Markit Ltd.,1/15/2021,Estimated
JPM,JPMorgan Chase & Co.,1/15/2021,Pre-Market
AA,Alcoa Corporation,1/15/2021,Estimated
WFC,Wells Fargo & Company,1/15/2021,Estimated
BANF,BancFirst Corporation,1/15/2021,Estimated
SBNY,Signature Bank,1/15/2021,Estimated
BMTC,Bryn Mawr Bank Corporation,1/15/2021,Estimated
SCHW,The Charles Schwab Corporation,1/15/2021,Estimated
TEAM,Atlassian Corporation Plc,1/15/2021,Estimated
C,Citigroup Inc.,1/15/2021,Pre-Market
BRID,Bridgford Foods Corporation,1/15/2021,Estimated
PNC,"The PNC Financial Services Group, Inc.",1/15/2021,Pre-Market
CBSH,"Commerce Bancshares, Inc.",1/15/2021,Estimated
UNB,"Union Bankshares, Inc.",1/15/2021,Estimated
PRGS,Progress Software Corporation,1/15/2021,Estimated
HBMD,"Howard Bancorp, Inc.",1/18/2021,Estimated
MCBC,Macatawa Bank Corporation,1/18/2021,Estimated
NCBS,"Nicolet Bankshares, Inc.",1/18/2021,Estimated
PEBK,"Peoples Bancorp of North Carolina, Inc.",1/18/2021,Estimated
WTFC,Wintrust Financial Corporation,1/18/2021,Estimated
ZION,"Zions Bancorporation, National Association",1/19/2021,Post-Market
STT,State Street Corporation,1/19/2021,Estimated
GCBC,"Greene County Bancorp, Inc.",1/19/2021,Estimated
BAC,Bank of America Corporation,1/19/2021,Pre-Market
TESS,TESSCO Technologies Incorporated,1/19/2021,Estimated
HAL,Halliburton Company,1/19/2021,Estimated
SLM,SLM Corporation,1/19/2021,Estimated
VFC,V.F. Corporation,1/19/2021,Estimated
SNV,Synovus Financial Corp.,1/19/2021,Estimated
PBIP,"Prudential Bancorp, Inc.",1/19/2021,Estimated
CMA,Comerica Incorporated,1/19/2021,Estimated
SFBS,"ServisFirst Bancshares, Inc.",1/20/2021,Estimated
USB,U.S. Bancorp,1/20/2021,Estimated
EFSC,Enterprise Financial Services Corp,1/20/2021,Estimated
CFG,"Citizens Financial Group, Inc.",1/20/2021,Estimated
UCBI,"United Community Banks, Inc.",1/20/2021,Estimated
FFIV,"F5 Networks, Inc.",1/20/2021,Estimated
RES,"RPC, Inc.",1/20/2021,Estimated
ABT,Abbott Laboratories,1/20/2021,Estimated
SYF,Synchrony Financial,1/20/2021,Estimated
BPFH,"Boston Private Financial Holdings, Inc.",1/20/2021,Estimated
APD,"Air Products and Chemicals, Inc.",1/20/2021,Estimated
ROL,"Rollins, Inc.",1/20/2021,Estimated
GD,General Dynamics Corporation,1/20/2021,Estimated
FAST,Fastenal Company,1/20/2021,Pre-Market
CNS,"Cohen & Steers, Inc.",1/20/2021,Estimated
ATI,Allegheny Technologies Incorporated,1/20/2021,Estimated
CTXS,"Citrix Systems, Inc.",1/20/2021,Estimated
LLY,Eli Lilly and Company,1/20/2021,Estimated
BK,The Bank of New York Mellon Corporation,1/20/2021,Pre-Market
WSFS,WSFS Financial Corporation,1/20/2021,Estimated
FNLC,"The First Bancorp, Inc.",1/20/2021,Estimated
FNB,F.N.B. Corporation,1/21/2021,Estimated
WTBA,"West Bancorporation, Inc.",1/21/2021,Estimated
FITB,Fifth Third Bancorp,1/21/2021,Pre-Market
GATX,GATX Corporation,1/21/2021,Estimated
PBCT,"People's United Financial, Inc.",1/21/2021,Estimated
HOPE,"Hope Bancorp, Inc.",1/21/2021,Estimated
TRV,"The Travelers Companies, Inc.",1/21/2021,Estimated
IBM,International Business Machines Corporation,1/21/2021,Estimated
INTC,Intel Corporation,1/21/2021,Post-Market
STL,Sterling Bancorp,1/21/2021,Estimated
SRCE,1st Source Corporation,1/21/2021,Post-Market
NTRS,Northern Trust Corporation,1/21/2021,Estimated
SMBC,"Southern Missouri Bancorp, Inc.",1/21/2021,Estimated
SIVB,SVB Financial Group,1/21/2021,Estimated
KEY,KeyCorp,1/21/2021,Pre-Market
SFNC,Simmons First National Corporation,1/21/2021,Estimated
LOB,"Live Oak Bancshares, Inc.",1/21/2021,Estimated
RLI,RLI Corp.,1/21/2021,Estimated
MTB,M&T Bank Corporation,1/21/2021,Pre-Market
HMST,"HomeStreet, Inc.",1/21/2021,Estimated
PLD,"Prologis, Inc.",1/21/2021,Estimated
INBK,First Internet Bancorp,1/21/2021,Estimated
CBU,"Community Bank System, Inc.",1/21/2021,Estimated
BFIN,BankFinancial Corporation,1/21/2021,Estimated
BCBP,"BCB Bancorp, Inc.",1/21/2021,Estimated
ALLY,Ally Financial Inc.,1/21/2021,Estimated
ALK,"Alaska Air Group, Inc.",1/21/2021,Estimated
BMY,Bristol-Myers Squibb Company,1/21/2021,Estimated
ASB,Associated Banc-Corp,1/21/2021,Estimated
CATY,Cathay General Bancorp,1/21/2021,Estimated
CASH,"Meta Financial Group, Inc.",1/21/2021,Estimated
COLB,"Columbia Banking System, Inc.",1/21/2021,Estimated
BSET,"Bassett Furniture Industries, Incorporated",1/21/2021,Estimated
BXS,BancorpSouth Bank,1/22/2021,Estimated
RBNC,"Reliant Bancorp, Inc.",1/22/2021,Estimated
RF,Regions Financial Corporation,1/22/2021,Pre-Market
BPOP,"Popular, Inc.",1/22/2021,Estimated
RMD,ResMed Inc.,1/22/2021,Estimated
SBCF,Seacoast Banking Corporation of Florida,1/22/2021,Estimated
BKU,"BankUnited, Inc.",1/22/2021,Estimated
CLFD,"Clearfield, Inc.",1/22/2021,Estimated
BHLB,"Berkshire Hills Bancorp, Inc.",1/22/2021,Estimated
BFST,"Business First Bancshares, Inc.",1/22/2021,Estimated
ISTR,Investar Holding Corporation,1/22/2021,Estimated
CVBF,CVB Financial Corp.,1/22/2021,Estimated
PKBK,"Parke Bancorp, Inc.",1/22/2021,Estimated
CADE,Cadence Bancorporation,1/22/2021,Estimated
CLF,Cleveland-Cliffs Inc.,1/22/2021,Estimated
MKC,"McCormick & Company, Incorporated",1/22/2021,Estimated
CHMG,Chemung Financial Corporation,1/22/2021,Estimated
NBHC,National Bank Holdings Corporation,1/22/2021,Estimated
MCB,Metropolitan Bank Holding Corp.,1/22/2021,Estimated
CHCO,City Holding Company,1/22/2021,Estimated
CCI,Crown Castle International Corp. (REIT),1/22/2021,Estimated
NVR,"NVR, Inc.",1/22/2021,Estimated
NWBI,"Northwest Bancshares, Inc.",1/22/2021,Estimated
NXGN,"NextGen Healthcare, Inc.",1/22/2021,Estimated
OSBC,"Old Second Bancorp, Inc.",1/22/2021,Estimated
PCSB,PCSB Financial Corporation,1/22/2021,Estimated
CBNK,"Capital Bancorp, Inc.",1/22/2021,Estimated
LBC,Luther Burbank Corporation,1/22/2021,Estimated
CAT,Caterpillar Inc.,1/22/2021,Estimated
CSTR,"Capstar Financial Holdings, Inc.",1/22/2021,Estimated
EBTC,"Enterprise Bancorp, Inc.",1/22/2021,Estimated
SBUX,Starbucks Corporation,1/22/2021,Estimated
HTH,Hilltop Holdings Inc.,1/22/2021,Estimated
AMNB,American National Bankshares Inc.,1/22/2021,Estimated
TOWN,TowneBank,1/22/2021,Estimated
EWBC,"East West Bancorp, Inc.",1/22/2021,Estimated
URI,"United Rentals, Inc.",1/22/2021,Estimated
FCAP,"First Capital, Inc.",1/22/2021,Estimated
FUL,H.B. Fuller Company,1/22/2021,Estimated
AIT,"Applied Industrial Technologies, Inc.",1/22/2021,Estimated
FNCB,"FNCB Bancorp, Inc.",1/22/2021,Estimated
AGYS,"Agilysys, Inc.",1/22/2021,Estimated
WAL,Western Alliance Bancorporation,1/22/2021,Estimated
FMBH,"First Mid Bancshares, Inc.",1/22/2021,Estimated
AEP,"American Electric Power Company, Inc.",1/22/2021,Estimated
ABCB,Ameris Bancorp,1/22/2021,Estimated
XLNX,"Xilinx, Inc.",1/22/2021,Estimated
FHB,"First Hawaiian, Inc.",1/22/2021,Estimated
TER,"Teradyne, Inc.",1/22/2021,Estimated
TBBK,"The Bancorp, Inc.",1/22/2021,Estimated
CMCSA,Comcast Corporation,1/22/2021,Estimated
BANR,Banner Corporation,1/22/2021,Estimated
AZPN,"Aspen Technology, Inc.",1/22/2021,Estimated
AVT,"Avnet, Inc.",1/22/2021,Estimated
ESXB,Community Bankers Trust Corporation,1/22/2021,Estimated
SONA,"Southern National Bancorp of Virginia, Inc.",1/22/2021,Estimated
HTBK,Heritage Commerce Corp,1/22/2021,Estimated
SLB,Schlumberger Limited,1/22/2021,Estimated
FCF,First Commonwealth Financial Corporation,1/25/2021,Estimated
CCB,Coastal Financial Corporation,1/25/2021,Estimated
ETN,Eaton Corporation plc,1/25/2021,Estimated
LKFN,Lakeland Financial Corporation,1/25/2021,Estimated
SHBI,"Shore Bancshares, Inc.",1/25/2021,Estimated
FCNCA,"First Citizens BancShares, Inc.",1/25/2021,Estimated
BOH,Bank of Hawaii Corporation,1/25/2021,Estimated
ESSA,"ESSA Bancorp, Inc.",1/25/2021,Estimated
HTLF,"Heartland Financial USA, Inc.",1/25/2021,Estimated
KMB,Kimberly-Clark Corporation,1/25/2021,Estimated
JBSS,"John B. Sanfilippo & Son, Inc.",1/25/2021,Estimated
PRK,Park National Corporation,1/25/2021,Estimated
BRO,"Brown & Brown, Inc.",1/25/2021,Estimated
GSBC,"Great Southern Bancorp, Inc.",1/25/2021,Post-Market
FBMS,"The First Bancshares, Inc.",1/25/2021,Estimated
CR,Crane Co.,1/25/2021,Estimated
MXIM,"Maxim Integrated Products, Inc.",1/26/2021,Estimated
CHD,"Church & Dwight Co., Inc.",1/26/2021,Estimated
SKY,Skyline Champion Corporation,1/26/2021,Estimated
STBA,"S&T Bancorp, Inc.",1/26/2021,Estimated
CE,Celanese Corporation,1/26/2021,Estimated
AVY,Avery Dennison Corporation,1/26/2021,Estimated
VZ,Verizon Communications Inc.,1/26/2021,Estimated
PCAR,PACCAR Inc,1/26/2021,Estimated
VBTX,"Veritex Holdings, Inc.",1/26/2021,Estimated
BOKF,BOK Financial Corporation,1/26/2021,Estimated
ROK,"Rockwell Automation, Inc.",1/26/2021,Estimated
NBN,Northeast Bank,1/26/2021,Estimated
TSC,"TriState Capital Holdings, Inc.",1/26/2021,Estimated
ZYXI,"Zynex, Inc.",1/26/2021,Estimated
FLXS,"Flexsteel Industries, Inc.",1/26/2021,Estimated
CPF,Central Pacific Financial Corp.,1/26/2021,Estimated
CREE,"Cree, Inc.",1/26/2021,Estimated
JNJ,Johnson & Johnson,1/26/2021,Estimated
IBTX,"Independent Bank Group, Inc.",1/26/2021,Estimated
MMM,3M Company,1/26/2021,Estimated
CVLT,"Commvault Systems, Inc.",1/26/2021,Estimated
EAT,"Brinker International, Inc.",1/27/2021,Estimated
PB,"Prosperity Bancshares, Inc.",1/27/2021,Estimated
COP,ConocoPhillips,1/27/2021,Estimated
ADS,Alliance Data Systems Corporation,1/27/2021,Estimated
T,AT&T Inc.,1/27/2021,Estimated
LAZ,Lazard Ltd,1/27/2021,Estimated
APH,Amphenol Corporation,1/27/2021,Estimated
PMBC,Pacific Mercantile Bancorp,1/27/2021,Estimated
CRUS,"Cirrus Logic, Inc.",1/27/2021,Estimated
CACI,CACI International Inc,1/27/2021,Estimated
SMG,The Scotts Miracle-Gro Company,1/27/2021,Estimated
BWFG,"Bankwell Financial Group, Inc.",1/27/2021,Estimated
AMG,"Affiliated Managers Group, Inc.",1/27/2021,Estimated
RJF,"Raymond James Financial, Inc.",1/27/2021,Estimated
LSTR,"Landstar System, Inc.",1/27/2021,Post-Market
ISBC,"Investors Bancorp, Inc.",1/27/2021,Estimated
FNWB,First Northwest Bancorp,1/27/2021,Estimated
DOV,Dover Corporation,1/27/2021,Estimated
SBT,"Sterling Bancorp, Inc. (Southfield, MI)",1/27/2021,Estimated
HES,Hess Corporation,1/27/2021,Estimated
ASH,Ashland Global Holdings Inc.,1/27/2021,Estimated
WASH,"Washington Trust Bancorp, Inc.",1/27/2021,Estimated
LVS,Las Vegas Sands Corp.,1/27/2021,Estimated
GNTX,Gentex Corporation,1/27/2021,Estimated
WNEB,"Western New England Bancorp, Inc.",1/27/2021,Estimated
NATI,National Instruments Corporation,1/27/2021,Estimated
NG,NovaGold Resources Inc.,1/27/2021,Post-Market
FLWS,"1-800-FLOWERS.COM, Inc.",1/27/2021,Estimated
CDNS,"Cadence Design Systems, Inc.",1/27/2021,Estimated
