Ticker,Name,Date,Time
ALOT,"AstroNova, Inc.",2020-09-09,Pre-Market
BBCP,"Concrete Pumping Holdings, Inc.",2020-09-09,Estimated
ZS,"Zscaler, Inc.",2020-09-09,Post-Market
LMNR,Limoneira Company,2020-09-09,Post-Market
MEIP,"MEI Pharma, Inc.",2020-09-09,Post-Market
VRNT,Verint Systems Inc.,2020-09-09,Post-Market
AVAV,"AeroVironment, Inc.",2020-09-09,Post-Market
GME,GameStop Corp.,2020-09-09,Post-Market
EPM,Evolution Petroleum Corporation,2020-09-09,Post-Market
NAV,Navistar International Corporation,2020-09-09,Estimated
SCWX,SecureWorks Corp.,2020-09-09,Pre-Market
MCFT,"MasterCraft Boat Holdings, Inc.",2020-09-09,Pre-Market
REVG,"REV Group, Inc.",2020-09-09,Pre-Market
HDS,"HD Supply Holdings, Inc.",2020-09-09,Pre-Market
GFN,General Finance Corporation,2020-09-09,Pre-Market
LOVE,The Lovesac Company,2020-09-09,Pre-Market
AEO,"American Eagle Outfitters, Inc.",2020-09-09,Pre-Market
GIII,"G-III Apparel Group, Ltd.",2020-09-09,Pre-Market
RH,RH,2020-09-09,Post-Market
PLAY,"Dave & Buster's Entertainment, Inc.",2020-09-10,Post-Market
USAT,"USA Technologies, Inc.",2020-09-10,Post-Market
ZUMZ,Zumiez Inc.,2020-09-10,Post-Market
ORCL,Oracle Corporation,2020-09-10,Post-Market
FARM,Farmer Bros. Co.,2020-09-10,Post-Market
KR,The Kroger Co.,2020-09-11,Estimated
VALU,"Value Line, Inc.",2020-09-11,Estimated
FIZZ,National Beverage Corp.,2020-09-11,Estimated
UBA,Urstadt Biddle Properties Inc.,2020-09-12,Estimated
RLGT,"Radiant Logistics, Inc.",2020-09-12,Estimated
HURC,"Hurco Companies, Inc.",2020-09-13,Estimated
AGX,"Argan, Inc.",2020-09-13,Estimated
EVI,"EVI Industries, Inc.",2020-09-13,Estimated
VNCE,Vince Holding Corp.,2020-09-14,Post-Market
LEN,Lennar Corporation,2020-09-14,Post-Market
KALV,"KalVista Pharmaceuticals, Inc.",2020-09-14,Estimated
