Ticker,Name,Date,Time
ZIXI,Zix Corporation,2020-10-20,Estimated
NWFL,Norwood Financial Corp.,2020-10-20,Estimated
OCN,Ocwen Financial Corporation,2020-10-20,Estimated
OVLY,Oak Valley Bancorp,2020-10-20,Estimated
PCAR,PACCAR Inc,2020-10-20,Estimated
CMA,Comerica Incorporated,2020-10-20,Estimated
PEBO,Peoples Bancorp Inc.,2020-10-20,Pre-Market
PG,The Procter & Gamble Company,2020-10-20,Estimated
CSL,Carlisle Companies Incorporated,2020-10-20,Post-Market
PLD,"Prologis, Inc.",2020-10-20,Estimated
PNR,Pentair plc,2020-10-20,Pre-Market
CBSH,"Commerce Bancshares, Inc.",2020-10-20,Pre-Market
REXR,"Rexford Industrial Realty, Inc.",2020-10-20,Post-Market
CATC,Cambridge Bancorp,2020-10-20,Pre-Market
RF,Regions Financial Corporation,2020-10-20,Pre-Market
CALX,"Calix, Inc.",2020-10-20,Post-Market
SBNY,Signature Bank,2020-10-20,Pre-Market
PNFP,"Pinnacle Financial Partners, Inc.",2020-10-20,Post-Market
BUSE,First Busey Corporation,2020-10-20,Estimated
NFLX,"Netflix, Inc.",2020-10-20,Post-Market
MLI,"Mueller Industries, Inc.",2020-10-20,Estimated
FULT,Fulton Financial Corporation,2020-10-20,Post-Market
GATX,GATX Corporation,2020-10-20,Pre-Market
GPK,Graphic Packaging Holding Company,2020-10-20,Pre-Market
HOPE,"Hope Bancorp, Inc.",2020-10-20,Post-Market
HWC,Hancock Whitney Corporation,2020-10-20,Post-Market
IBKR,"Interactive Brokers Group, Inc.",2020-10-20,Estimated
IQV,IQVIA Holdings Inc.,2020-10-20,Pre-Market
NBHC,National Bank Holdings Corporation,2020-10-20,Post-Market
IRBT,iRobot Corporation,2020-10-20,Post-Market
EQBK,"Equity Bancshares, Inc.",2020-10-20,Post-Market
ELS,"Equity LifeStyle Properties, Inc.",2020-10-20,Estimated
LCNB,LCNB Corp.,2020-10-20,Estimated
LMT,Lockheed Martin Corporation,2020-10-20,Pre-Market
MAN,ManpowerGroup Inc.,2020-10-20,Pre-Market
DOV,Dover Corporation,2020-10-20,Pre-Market
MBWM,Mercantile Bank Corporation,2020-10-20,Estimated
IRDM,Iridium Communications Inc.,2020-10-20,Estimated
SFST,"Southern First Bancshares, Inc.",2020-10-20,Estimated
PM,Philip Morris International Inc.,2020-10-20,Estimated
FMBI,"First Midwest Bancorp, Inc.",2020-10-20,Post-Market
TXN,Texas Instruments Incorporated,2020-10-20,Estimated
USNA,"USANA Health Sciences, Inc.",2020-10-20,Post-Market
TRV,"The Travelers Companies, Inc.",2020-10-20,Pre-Market
WDFC,WD-40 Company,2020-10-20,Post-Market
UCBI,"United Community Banks, Inc.",2020-10-20,Post-Market
TER,"Teradyne, Inc.",2020-10-20,Post-Market
AGR,"Avangrid, Inc.",2020-10-20,Post-Market
TCS,"The Container Store Group, Inc.",2020-10-20,Post-Market
SYF,Synchrony Financial,2020-10-20,Pre-Market
THC,Tenet Healthcare Corporation,2020-10-20,Post-Market
WRB,W. R. Berkley Corporation,2020-10-20,Post-Market
SNV,Synovus Financial Corp.,2020-10-20,Estimated
SMBK,"SmartFinancial, Inc.",2020-10-20,Estimated
STXB,"Spirit of Texas Bancshares, Inc.",2020-10-20,Post-Market
HA,"Hawaiian Holdings, Inc.",2020-10-21,Estimated
LRCX,Lam Research Corporation,2020-10-21,Estimated
FR,"First Industrial Realty Trust, Inc.",2020-10-21,Post-Market
LOB,"Live Oak Bancshares, Inc.",2020-10-21,Post-Market
UMPQ,Umpqua Holdings Corporation,2020-10-21,Post-Market
UNF,UniFirst Corporation,2020-10-21,Pre-Market
WTFC,Wintrust Financial Corporation,2020-10-21,Post-Market
LAD,"Lithia Motors, Inc.",2020-10-21,Pre-Market
KNX,Knight-Swift Transportation Holdings Inc.,2020-10-21,Pre-Market
VMI,"Valmont Industries, Inc.",2020-10-21,Post-Market
XLNX,"Xilinx, Inc.",2020-10-21,Estimated
KEY,KeyCorp,2020-10-21,Pre-Market
VZ,Verizon Communications Inc.,2020-10-21,Pre-Market
KALU,Kaiser Aluminum Corporation,2020-10-21,Post-Market
WGO,"Winnebago Industries, Inc.",2020-10-21,Pre-Market
IPG,"The Interpublic Group of Companies, Inc.",2020-10-21,Estimated
INBK,First Internet Bancorp,2020-10-21,Post-Market
GGG,Graco Inc.,2020-10-21,Post-Market
GSBC,"Great Southern Bancorp, Inc.",2020-10-21,Post-Market
WHR,Whirlpool Corporation,2020-10-21,Post-Market
WNEB,"Western New England Bancorp, Inc.",2020-10-21,Estimated
GTY,Getty Realty Corp.,2020-10-21,Post-Market
HLX,"Helix Energy Solutions Group, Inc.",2020-10-21,Post-Market
HCSG,"Healthcare Services Group, Inc.",2020-10-21,Pre-Market
WSBC,"WesBanco, Inc.",2020-10-21,Post-Market
LSTR,"Landstar System, Inc.",2020-10-21,Post-Market
SLGN,Silgan Holdings Inc.,2020-10-21,Pre-Market
